-74	-2157807139
-73	-2015097689
-72	-1880040091
-71	-1752322453
-70	-1631641475
-69	-1517702329
-68	-1410218539
-67	-1308911861
-66	-1213512163
-65	-1123757305
-64	-1039393019
-63	-960172789
-62	-885857731
-61	-816216473
-60	-751025035
-59	-690066709
-58	-633131939
-57	-580018201
-56	-530529883
-55	-484478165
-54	-441680899
-53	-401962489
-52	-365153771
-51	-331091893
-50	-299620195
-49	-270588089
-48	-243850939
-47	-219269941
-46	-196712003
-45	-176049625
-44	-157160779
-43	-139928789
-42	-124242211
-41	-109994713
-40	-97084955
-39	-85416469
-38	-74897539
-37	-65441081
-36	-56964523
-35	-49389685
-34	-42642659
-33	-36653689
-32	-31357051
-31	-26690933
-30	-22597315
-29	-19021849
-28	-15913739
-27	-13225621
-26	-10913443
-25	-8936345
-24	-7256539
-23	-5839189
-22	-4652291
-21	-3666553
-20	-2855275
-19	-2194229
-18	-1661539
-17	-1237561
-16	-904763
-15	-647605
-14	-452419
-13	-307289
-12	-201931
-11	-127573
-10	-76835
-9	-43609
-8	-22939
-7	-10901
-6	-4483
-5	-1465
-4	-299
-3	11
-2	29
-1	7
0	5
1	11
2	61
3	359
4	1397
5	4075
6	9821
7	20711
8	39589
9	70187
10	117245
11	186631
12	285461
13	422219
14	606877
15	851015
16	1167941
17	1572811
18	2082749
19	2716967
20	3496885
21	4446251
22	5591261
23	6960679
24	8585957
25	10501355
26	12744061
27	15354311
28	18375509
29	21854347
30	25840925
31	30388871
32	35555461
33	41401739
34	47992637
35	55397095
36	63688181
37	72943211
38	83243869
39	94676327
40	107331365
41	121304491
42	136696061
43	153611399
44	172160917
45	192460235
46	214630301
47	238797511
48	265093829
49	293656907
50	324630205
51	358163111
52	394411061
53	433535659
54	475704797
55	521092775
56	569880421
57	622255211
58	678411389
59	738550087
60	802879445
61	871614731
62	944978461
63	1023200519
64	1106518277
65	1195176715
66	1289428541
67	1389534311
68	1495762549
69	1608389867
70	1727701085
71	1853989351
72	1987556261
73	2128711979
74	2277775357
75	2435074055
