-74	30397352
-73	28792662
-72	27252362
-71	25774706
-70	24357972
-69	23000462
-68	21700502
-67	20456442
-66	19266656
-65	18129542
-64	17043522
-63	16007042
-62	15018572
-61	14076606
-60	13179662
-59	12326282
-58	11515032
-57	10744502
-56	10013306
-55	9320082
-54	8663492
-53	8042222
-52	7454982
-51	6900506
-50	6377552
-49	5884902
-48	5421362
-47	4985762
-46	4576956
-45	4193822
-44	3835262
-43	3500202
-42	3187592
-41	2896406
-40	2625642
-39	2374322
-38	2141492
-37	1926222
-36	1727606
-35	1544762
-34	1376832
-33	1222982
-32	1082402
-31	954306
-30	837932
-29	732542
-28	637422
-27	551882
-26	475256
-25	406902
-24	346202
-23	292562
-22	245412
-21	204206
-20	168422
-19	137562
-18	111152
-17	88742
-16	69906
-15	54242
-14	41372
-13	30942
-12	22622
-11	16106
-10	11112
-9	7382
-8	4682
-7	2802
-6	1556
-5	782
-4	342
-3	122
-2	32
-1	6
0	2
1	2
2	12
3	62
4	206
5	522
6	1112
7	2102
8	3642
9	5906
10	9092
11	13422
12	19142
13	26522
14	35856
15	47462
16	61682
17	78882
18	99452
19	123806
20	152382
21	185642
22	224072
23	268182
24	318506
25	375602
26	440052
27	512462
28	593462
29	683706
30	783872
31	894662
32	1016802
33	1151042
34	1298156
35	1458942
36	1634222
37	1824842
38	2031672
39	2255606
40	2497562
41	2758482
42	3039332
43	3341102
44	3664806
45	4011482
46	4382192
47	4778022
48	5200082
49	5649506
50	6127452
51	6635102
52	7173662
53	7744362
54	8348456
55	8987222
56	9661962
57	10374002
58	11124692
59	11915406
60	12747542
61	13622522
62	14541792
63	15506822
64	16519106
65	17580162
66	18691532
67	19854782
68	21071502
69	22343306
70	23671832
71	25058742
72	26505722
73	28014482
74	29586756
75	31224302
