-74	30397199
-73	28792511
-72	27252213
-71	25774559
-70	24357827
-69	23000319
-68	21700361
-67	20456303
-66	19266519
-65	18129407
-64	17043389
-63	16006911
-62	15018443
-61	14076479
-60	13179537
-59	12326159
-58	11514911
-57	10744383
-56	10013189
-55	9319967
-54	8663379
-53	8042111
-52	7454873
-51	6900399
-50	6377447
-49	5884799
-48	5421261
-47	4985663
-46	4576859
-45	4193727
-44	3835169
-43	3500111
-42	3187503
-41	2896319
-40	2625557
-39	2374239
-38	2141411
-37	1926143
-36	1727529
-35	1544687
-34	1376759
-33	1222911
-32	1082333
-31	954239
-30	837867
-29	732479
-28	637361
-27	551823
-26	475199
-25	406847
-24	346149
-23	292511
-22	245363
-21	204159
-20	168377
-19	137519
-18	111111
-17	88703
-16	69869
-15	54207
-14	41339
-13	30911
-12	22593
-11	16079
-10	11087
-9	7359
-8	4661
-7	2783
-6	1539
-5	767
-4	329
-3	111
-2	23
-1	-1
0	-3
1	-1
2	11
3	63
4	209
5	527
6	1119
7	2111
8	3653
9	5919
10	9107
11	13439
12	19161
13	26543
14	35879
15	47487
16	61709
17	78911
18	99483
19	123839
20	152417
21	185679
22	224111
23	268223
24	318549
25	375647
26	440099
27	512511
28	593513
29	683759
30	783927
31	894719
32	1016861
33	1151103
34	1298219
35	1459007
36	1634289
37	1824911
38	2031743
39	2255679
40	2497637
41	2758559
42	3039411
43	3341183
44	3664889
45	4011567
46	4382279
47	4778111
48	5200173
49	5649599
50	6127547
51	6635199
52	7173761
53	7744463
54	8348559
55	8987327
56	9662069
57	10374111
58	11124803
59	11915519
60	12747657
61	13622639
62	14541911
63	15506943
64	16519229
65	17580287
66	18691659
67	19854911
68	21071633
69	22343439
70	23671967
71	25058879
72	26505861
73	28014623
74	29586899
75	31224447
