-74	30813301
-73	29192113
-72	27635757
-71	26142481
-70	24710557
-69	23338281
-68	22023973
-67	20765977
-66	19562661
-65	18412417
-64	17313661
-63	16264833
-62	15264397
-61	14310841
-60	13402677
-59	12538441
-58	11716693
-57	10936017
-56	10195021
-55	9492337
-54	8826621
-53	8196553
-52	7600837
-51	7038201
-50	6507397
-49	6007201
-48	5536413
-47	5093857
-46	4678381
-45	4288857
-44	3924181
-43	3583273
-42	3265077
-41	2968561
-40	2692717
-39	2436561
-38	2199133
-37	1979497
-36	1776741
-35	1589977
-34	1418341
-33	1260993
-32	1117117
-31	985921
-30	866637
-29	758521
-28	660853
-27	572937
-26	494101
-25	423697
-24	361101
-23	305713
-22	256957
-21	214281
-20	177157
-19	145081
-18	117573
-17	94177
-16	74461
-15	58017
-14	44461
-13	33433
-12	24597
-11	17641
-10	12277
-9	8241
-8	5293
-7	3217
-6	1821
-5	937
-4	421
-3	153
-2	37
-1	1
0	-3
1	1
2	13
3	57
4	181
5	457
6	981
7	1873
8	3277
9	5361
10	8317
11	12361
12	17733
13	24697
14	33541
15	44577
16	58141
17	74593
18	94317
19	117721
20	145237
21	177321
22	214453
23	257137
24	305901
25	361297
26	423901
27	494313
28	573157
29	661081
30	758757
31	866881
32	986173
33	1117377
34	1261261
35	1418617
36	1590261
37	1777033
38	1979797
39	2199441
40	2436877
41	2693041
42	2968893
43	3265417
44	3583621
45	3924537
46	4289221
47	4678753
48	5094237
49	5536801
50	6007597
51	6507801
52	7038613
53	7601257
54	8196981
55	8827057
56	9492781
57	10195473
58	10936477
59	11717161
60	12538917
61	13403161
62	14311333
63	15264897
64	16265341
65	17314177
66	18412941
67	19563193
68	20766517
69	22024521
70	23338837
71	24711121
72	26143053
73	27636337
74	29192701
75	30813897
