-74	-794163
-73	-762188
-72	-731083
-71	-700836
-70	-671435
-69	-642868
-68	-615123
-67	-588188
-66	-562051
-65	-536700
-64	-512123
-63	-488308
-62	-465243
-61	-442916
-60	-421315
-59	-400428
-58	-380243
-57	-360748
-56	-341931
-55	-323780
-54	-306283
-53	-289428
-52	-273203
-51	-257596
-50	-242595
-49	-228188
-48	-214363
-47	-201108
-46	-188411
-45	-176260
-44	-164643
-43	-153548
-42	-142963
-41	-132876
-40	-123275
-39	-114148
-38	-105483
-37	-97268
-36	-89491
-35	-82140
-34	-75203
-33	-68668
-32	-62523
-31	-56756
-30	-51355
-29	-46308
-28	-41603
-27	-37228
-26	-33171
-25	-29420
-24	-25963
-23	-22788
-22	-19883
-21	-17236
-20	-14835
-19	-12668
-18	-10723
-17	-8988
-16	-7451
-15	-6100
-14	-4923
-13	-3908
-12	-3043
-11	-2316
-10	-1715
-9	-1228
-8	-843
-7	-548
-6	-331
-5	-180
-4	-83
-3	-28
-2	-3
-1	4
0	5
1	12
2	37
3	92
4	189
5	340
6	557
7	852
8	1237
9	1724
10	2325
11	3052
12	3917
13	4932
14	6109
15	7460
16	8997
17	10732
18	12677
19	14844
20	17245
21	19892
22	22797
23	25972
24	29429
25	33180
26	37237
27	41612
28	46317
29	51364
30	56765
31	62532
32	68677
33	75212
34	82149
35	89500
36	97277
37	105492
38	114157
39	123284
40	132885
41	142972
42	153557
43	164652
44	176269
45	188420
46	201117
47	214372
48	228197
49	242604
50	257605
51	273212
52	289437
53	306292
54	323789
55	341940
56	360757
57	380252
58	400437
59	421324
60	442925
61	465252
62	488317
63	512132
64	536709
65	562060
66	588197
67	615132
68	642877
69	671444
70	700845
71	731092
72	762197
73	794172
74	827029
75	860780
