-74	-399817
-73	-383756
-72	-368131
-71	-352936
-70	-338165
-69	-323812
-68	-309871
-67	-296336
-66	-283201
-65	-270460
-64	-258107
-63	-246136
-62	-234541
-61	-223316
-60	-212455
-59	-201952
-58	-191801
-57	-181996
-56	-172531
-55	-163400
-54	-154597
-53	-146116
-52	-137951
-51	-130096
-50	-122545
-49	-115292
-48	-108331
-47	-101656
-46	-95261
-45	-89140
-44	-83287
-43	-77696
-42	-72361
-41	-67276
-40	-62435
-39	-57832
-38	-53461
-37	-49316
-36	-45391
-35	-41680
-34	-38177
-33	-34876
-32	-31771
-31	-28856
-30	-26125
-29	-23572
-28	-21191
-27	-18976
-26	-16921
-25	-15020
-24	-13267
-23	-11656
-22	-10181
-21	-8836
-20	-7615
-19	-6512
-18	-5521
-17	-4636
-16	-3851
-15	-3160
-14	-2557
-13	-2036
-12	-1591
-11	-1216
-10	-905
-9	-652
-8	-451
-7	-296
-6	-181
-5	-100
-4	-47
-3	-16
-2	-1
-1	4
0	5
1	8
2	19
3	44
4	89
5	160
6	263
7	404
8	589
9	824
10	1115
11	1468
12	1889
13	2384
14	2959
15	3620
16	4373
17	5224
18	6179
19	7244
20	8425
21	9728
22	11159
23	12724
24	14429
25	16280
26	18283
27	20444
28	22769
29	25264
30	27935
31	30788
32	33829
33	37064
34	40499
35	44140
36	47993
37	52064
38	56359
39	60884
40	65645
41	70648
42	75899
43	81404
44	87169
45	93200
46	99503
47	106084
48	112949
49	120104
50	127555
51	135308
52	143369
53	151744
54	160439
55	169460
56	178813
57	188504
58	198539
59	208924
60	219665
61	230768
62	242239
63	254084
64	266309
65	278920
66	291923
67	305324
68	319129
69	333344
70	347975
71	363028
72	378509
73	394424
74	410779
75	427580
