-74	10955
-73	10661
-72	10371
-71	10085
-70	9803
-69	9525
-68	9251
-67	8981
-66	8715
-65	8453
-64	8195
-63	7941
-62	7691
-61	7445
-60	7203
-59	6965
-58	6731
-57	6501
-56	6275
-55	6053
-54	5835
-53	5621
-52	5411
-51	5205
-50	5003
-49	4805
-48	4611
-47	4421
-46	4235
-45	4053
-44	3875
-43	3701
-42	3531
-41	3365
-40	3203
-39	3045
-38	2891
-37	2741
-36	2595
-35	2453
-34	2315
-33	2181
-32	2051
-31	1925
-30	1803
-29	1685
-28	1571
-27	1461
-26	1355
-25	1253
-24	1155
-23	1061
-22	971
-21	885
-20	803
-19	725
-18	651
-17	581
-16	515
-15	453
-14	395
-13	341
-12	291
-11	245
-10	203
-9	165
-8	131
-7	101
-6	75
-5	53
-4	35
-3	21
-2	11
-1	5
0	3
1	5
2	11
3	21
4	35
5	53
6	75
7	101
8	131
9	165
10	203
11	245
12	291
13	341
14	395
15	453
16	515
17	581
18	651
19	725
20	803
21	885
22	971
23	1061
24	1155
25	1253
26	1355
27	1461
28	1571
29	1685
30	1803
31	1925
32	2051
33	2181
34	2315
35	2453
36	2595
37	2741
38	2891
39	3045
40	3203
41	3365
42	3531
43	3701
44	3875
45	4053
46	4235
47	4421
48	4611
49	4805
50	5003
51	5205
52	5411
53	5621
54	5835
55	6053
56	6275
57	6501
58	6731
59	6965
60	7203
61	7445
62	7691
63	7941
64	8195
65	8453
66	8715
67	8981
68	9251
69	9525
70	9803
71	10085
72	10371
73	10661
74	10955
75	11253
