-74	16277
-73	15838
-72	15405
-71	14978
-70	14557
-69	14142
-68	13733
-67	13330
-66	12933
-65	12542
-64	12157
-63	11778
-62	11405
-61	11038
-60	10677
-59	10322
-58	9973
-57	9630
-56	9293
-55	8962
-54	8637
-53	8318
-52	8005
-51	7698
-50	7397
-49	7102
-48	6813
-47	6530
-46	6253
-45	5982
-44	5717
-43	5458
-42	5205
-41	4958
-40	4717
-39	4482
-38	4253
-37	4030
-36	3813
-35	3602
-34	3397
-33	3198
-32	3005
-31	2818
-30	2637
-29	2462
-28	2293
-27	2130
-26	1973
-25	1822
-24	1677
-23	1538
-22	1405
-21	1278
-20	1157
-19	1042
-18	933
-17	830
-16	733
-15	642
-14	557
-13	478
-12	405
-11	338
-10	277
-9	222
-8	173
-7	130
-6	93
-5	62
-4	37
-3	18
-2	5
-1	-2
0	-3
1	2
2	13
3	30
4	53
5	82
6	117
7	158
8	205
9	258
10	317
11	382
12	453
13	530
14	613
15	702
16	797
17	898
18	1005
19	1118
20	1237
21	1362
22	1493
23	1630
24	1773
25	1922
26	2077
27	2238
28	2405
29	2578
30	2757
31	2942
32	3133
33	3330
34	3533
35	3742
36	3957
37	4178
38	4405
39	4638
40	4877
41	5122
42	5373
43	5630
44	5893
45	6162
46	6437
47	6718
48	7005
49	7298
50	7597
51	7902
52	8213
53	8530
54	8853
55	9182
56	9517
57	9858
58	10205
59	10558
60	10917
61	11282
62	11653
63	12030
64	12413
65	12802
66	13197
67	13598
68	14005
69	14418
70	14837
71	15262
72	15693
73	16130
74	16573
75	17022
